ticker,long_name,sector,industry,currency,exchange,revenue_growth,profit_margins,return_on_equity,total_revenue,net_income_to_common,shares_outstanding,market_cap,trailing_pe,forward_pe,instrument_group,source,retrieved_at,as_of_date,eps_avg_current_year,eps_growth_current_year,eps_analysts_current_year,eps_avg_next_year,eps_growth_next_year,eps_analysts_next_year,eps_avg_current_quarter,eps_growth_current_quarter,eps_analysts_current_quarter,eps_avg_next_quarter,eps_growth_next_quarter,eps_analysts_next_quarter,analyst_buy_ratio,analyst_hold_ratio,analyst_buy_ratio_change_3m,target_current,target_mean,target_high,target_low,target_median,target_upside,next_earnings_date,calendar_earnings_average,calendar_earnings_high,calendar_earnings_low,calendar_revenue_average,calendar_revenue_high,calendar_revenue_low
NVDA,NVIDIA Corporation,Technology,Semiconductors,USD,NMS,1.059,0.63663,1.17211,302970011648.0,192880001024.0,24147000000.0,5367153557504.0,28.099874,14.173006,us_equity,Yahoo Finance,2026-09-21T08:29:18+00:00,2024-05-20,9.30713,0.9512,51.0,15.68263,0.685,53.0,2.47356,0.90269995,43.0,2.74295,0.6932,41.0,0.9516129032258065,0.03225806451612903,0.0007932310946590082,222.27,327.7,515.0,180.0,315.0,0.4743330184010437,2026-11-17,2.47356,2.7,2.34,109010834070.0,116251000000.0,104937000000.0
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,USD,NYQ,0.015,0.18437,0.30290002,87031996416.0,15754000384.0,2322672312.0,340016005120.0,22.113293,19.782967,us_equity,Yahoo Finance,2026-09-21T08:29:18+00:00,2024-05-20,6.97974,0.012999999,24.0,7.3998,0.0602,23.0,1.88694,-0.051799998,19.0,1.88086,0.0005,19.0,0.52,0.48,-0.040000000000000036,146.39,160.6087,186.0,143.0,162.0,0.09712890224742132,2026-10-22,1.88694,2.0,1.85,22749205480.0,22907315000.0,22499700000.0
PJT,PJT Partners Inc.,Financial Services,Capital Markets,USD,NYQ,0.195,0.10582,0.37633,1885650048.0,199532992.0,25564818.0,6452198400.0,20.608164,16.702837,us_equity,Yahoo Finance,2026-09-21T08:29:19+00:00,2024-05-20,7.99383,0.1452,7.0,9.06852,0.1344,7.0,1.8705,0.0111,7.0,2.56346,0.0053,6.0,0.42857142857142855,0.42857142857142855,,151.47,187.8,203.0,171.0,194.0,0.2398494751435929,2026-11-03,1.8705,2.09,1.65,473687480.0,503000000.0,441200000.0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,USD,NYQ,0.004,0.03135,0.14152999,450525986816.0,14122000384.0,897594847.0,338303483904.0,24.206808,16.669476,us_equity,Yahoo Finance,2026-09-21T08:29:19+00:00,2024-05-20,19.86706,0.2151,25.0,22.61019,0.1381,26.0,4.14931,0.42099997,23.0,2.10279,-0.0034,23.0,0.8461538461538461,0.15384615384615385,0.02472527472527475,376.9,481.72,529.0,380.0,490.0,0.27811090474927047,2026-10-13,4.14931,4.56,3.9,111489347180.0,114000000000.0,108488000000.0
XLC,State Street Communication Services Select Sector SPDR ETF,,,USD,PCX,,,,,,,,15.287841,,sector_proxy,Yahoo Finance,2026-09-21T08:29:19+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLE,State Street Energy Select Sector SPDR ETF,,,USD,PCX,,,,,,186424000.0,,17.840172,,sector_proxy,Yahoo Finance,2026-09-21T08:29:19+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLF,State Street Financial Select Sector SPDR ETF,,,USD,PCX,,,,,,883444992.0,,15.839358,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLI,State Street Industrial Select Sector SPDR ETF,,,USD,PCX,,,,,,136626000.0,,27.55985,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLK,State Street Technology Select Sector SPDR ETF,,,USD,PCX,,,,,,272056000.0,,33.562958,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLP,State Street Consumer Staples Select Sector SPDR ETF,,,USD,PCX,,,,,,210172000.0,,24.49339,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLRE,State Street Real Estate Select Sector SPDR ETF,,,USD,PCX,,,,,,,,30.310608,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLU,State Street Utilities Select Sector SPDR ETF,,,USD,PCX,,,,,,163274000.0,,18.506212,,sector_proxy,Yahoo Finance,2026-09-21T08:29:20+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLV,State Street Health Care Select Sector SPDR ETF,,,USD,PCX,,,,,,197415008.0,,30.085098,,sector_proxy,Yahoo Finance,2026-09-21T08:29:21+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,,,USD,PCX,,,,,,120253000.0,,24.262712,,sector_proxy,Yahoo Finance,2026-09-21T08:29:21+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XOM,ExxonMobil Holdings Corporation,Energy,Oil & Gas Integrated,USD,NYQ,0.441,0.09072,0.12584,361060007936.0,32757000192.0,4111911960.0,672462077952.0,21.047619,15.155684,us_equity,Yahoo Finance,2026-09-21T08:29:21+00:00,2024-05-20,11.74649,0.68050003,21.0,10.79067,-0.08140001,22.0,3.65947,0.9465,15.0,3.06273,0.7911,15.0,0.4,0.6,-0.05833333333333329,163.54,170.90909,200.0,142.0,170.0,0.045059863030451286,2026-10-30,3.65947,4.3,3.0,98524954160.0,113241000000.0,83418990000.0
^FCHI,CAC 40,,,EUR,PAR,,,,,,,,,,europe_index,Yahoo Finance,2026-09-21T08:29:21+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^FTSE,FTSE 100,,,GBP,FGI,,,,,,,,,,europe_index,Yahoo Finance,2026-09-21T08:29:22+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^GDAXI,DAX P,,,EUR,GER,,,,,,,,,,europe_index,Yahoo Finance,2026-09-21T08:29:22+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^IBEX,IBEX 35,,,EUR,MCE,,,,,,,,,,europe_index,Yahoo Finance,2026-09-21T08:29:22+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^STOXX50E,EURO STOXX 50 I,,,EUR,ZRH,,,,,,,,,,europe_index,Yahoo Finance,2026-09-21T08:29:22+00:00,2024-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
